               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.07643,            0.057594,             0.00331,             0.64372,             0.44344,             0.47489,             0.17939,            0.081556,             0.03156,           0.0043834,            0.006535,            0.006535,            0.006535
                  37,             0.07665,            0.056141,           0.0033276,             0.65059,             0.44058,             0.46475,             0.18486,            0.081107,            0.032061,           0.0043536,            0.006436,            0.006436,            0.006436
                  38,            0.074684,            0.055752,           0.0031705,             0.64058,             0.42736,             0.46237,             0.19727,             0.07823,            0.029881,           0.0044243,            0.006337,            0.006337,            0.006337
                  39,            0.075203,            0.055318,           0.0033317,             0.62469,             0.42166,             0.44492,             0.17878,            0.079646,             0.03033,           0.0044715,            0.006238,            0.006238,            0.006238
                  40,            0.074027,            0.055317,           0.0028918,             0.64642,             0.45384,             0.47818,             0.18891,            0.078368,            0.030247,           0.0044174,            0.006139,            0.006139,            0.006139
                  41,             0.07267,             0.05297,           0.0029863,             0.71317,             0.44719,             0.50927,             0.21305,             0.07811,            0.030148,            0.004418,             0.00604,             0.00604,             0.00604
                  42,            0.073894,            0.055875,           0.0031163,             0.70974,             0.45035,             0.49804,             0.19717,            0.079896,            0.031028,           0.0043113,            0.005941,            0.005941,            0.005941
                  43,            0.073424,            0.054217,           0.0031438,             0.75252,             0.46625,             0.52718,              0.2239,            0.076493,            0.029876,           0.0042749,            0.005842,            0.005842,            0.005842
                  44,            0.073474,            0.054967,            0.002799,             0.71956,             0.45286,             0.50303,             0.21036,            0.075865,            0.029882,           0.0042701,            0.005743,            0.005743,            0.005743
                  45,            0.071455,            0.052759,           0.0026896,              0.7802,             0.47701,             0.54365,             0.24705,             0.07287,            0.029878,           0.0046769,            0.005644,            0.005644,            0.005644
                  46,            0.071676,            0.053004,           0.0028747,             0.76317,             0.47367,             0.54049,             0.23312,            0.076606,            0.030015,           0.0044243,            0.005545,            0.005545,            0.005545
                  47,            0.070831,            0.055244,           0.0027909,             0.78504,             0.48554,             0.55413,              0.2473,            0.074249,            0.030019,           0.0044655,            0.005446,            0.005446,            0.005446
                  48,            0.071185,            0.055772,           0.0028675,             0.71513,             0.47311,             0.52601,             0.23663,            0.074161,             0.02926,            0.004325,            0.005347,            0.005347,            0.005347
                  49,            0.070396,             0.05396,           0.0028723,             0.77271,             0.46192,              0.5339,             0.23211,             0.07442,            0.029291,           0.0042629,            0.005248,            0.005248,            0.005248
                  50,            0.071443,            0.055718,           0.0026688,             0.80679,             0.48052,             0.55789,             0.24744,            0.073517,            0.029107,           0.0040915,            0.005149,            0.005149,            0.005149
                  51,            0.069957,             0.05343,           0.0029837,             0.78896,             0.48554,             0.56383,             0.25536,            0.072945,            0.028998,           0.0042157,             0.00505,             0.00505,             0.00505
                  52,            0.069405,            0.053929,           0.0026101,             0.78462,             0.48774,             0.56552,             0.26401,            0.071949,            0.028964,           0.0044271,            0.004951,            0.004951,            0.004951
                  53,            0.068966,            0.050178,           0.0026282,             0.79535,             0.49392,             0.57153,             0.26473,            0.072626,             0.02877,           0.0043333,            0.004852,            0.004852,            0.004852
                  54,            0.069764,            0.053683,           0.0026047,             0.76377,             0.52019,             0.57627,             0.26534,            0.071588,            0.028692,           0.0041345,            0.004753,            0.004753,            0.004753
                  55,            0.068957,            0.055118,           0.0025475,             0.81003,             0.48798,             0.57194,             0.27532,            0.069617,            0.028361,           0.0042443,            0.004654,            0.004654,            0.004654
                  56,            0.067843,            0.050745,           0.0023649,             0.72845,             0.49753,             0.55022,             0.23826,            0.073808,            0.029079,           0.0042953,            0.004555,            0.004555,            0.004555
                  57,            0.068094,            0.053389,           0.0024225,             0.77083,             0.50973,             0.57813,             0.27161,            0.071438,            0.028703,           0.0041671,            0.004456,            0.004456,            0.004456
                  58,            0.068501,             0.05333,           0.0025546,             0.79663,             0.49777,             0.57594,             0.28406,            0.068783,            0.028376,           0.0045487,            0.004357,            0.004357,            0.004357
                  59,            0.067748,            0.051956,           0.0022746,             0.78902,             0.49409,             0.56324,             0.26005,             0.07119,            0.028605,           0.0040741,            0.004258,            0.004258,            0.004258
                  60,            0.068663,            0.052439,           0.0024208,             0.76537,             0.52007,             0.57683,             0.27764,            0.070647,            0.028378,           0.0041219,            0.004159,            0.004159,            0.004159
