               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.058185,            0.068781,           0.0023299,             0.77891,             0.58057,             0.64314,             0.31014,            0.059134,            0.058744,           0.0039317,            0.006535,            0.006535,            0.006535
                  37,            0.058585,            0.065654,           0.0023175,             0.79149,             0.59056,             0.65705,             0.33108,             0.05726,            0.058258,           0.0038546,            0.006436,            0.006436,            0.006436
                  38,            0.056275,            0.066238,           0.0022474,             0.82599,             0.56836,             0.64096,             0.32239,            0.058083,            0.059042,           0.0038873,            0.006337,            0.006337,            0.006337
                  39,            0.055549,            0.064841,           0.0019537,             0.79823,             0.57285,             0.64676,             0.33295,            0.058485,            0.058922,           0.0038169,            0.006238,            0.006238,            0.006238
                  40,            0.055992,            0.063229,           0.0019203,             0.80818,              0.5665,             0.65613,             0.33315,            0.057711,            0.058168,            0.003884,            0.006139,            0.006139,            0.006139
                  41,            0.056113,            0.064974,           0.0021704,             0.82564,              0.5655,             0.65443,             0.33738,              0.0576,            0.058525,           0.0038677,             0.00604,             0.00604,             0.00604
                  42,             0.05403,            0.060799,           0.0021773,             0.83674,              0.5578,             0.64615,              0.3394,            0.056944,            0.058586,           0.0038792,            0.005941,            0.005941,            0.005941
                  43,            0.055823,            0.068454,           0.0020372,               0.852,             0.54238,             0.62533,             0.32983,            0.056561,            0.058378,           0.0040031,            0.005842,            0.005842,            0.005842
                  44,            0.055158,            0.063496,           0.0019825,             0.81631,             0.55874,             0.64276,             0.33666,            0.058127,             0.05966,           0.0038579,            0.005743,            0.005743,            0.005743
                  45,            0.053601,            0.064611,           0.0017429,             0.83162,             0.56275,             0.64405,             0.33591,            0.056169,            0.058115,            0.004015,            0.005644,            0.005644,            0.005644
                  46,             0.05495,             0.06286,           0.0018983,             0.82375,             0.56646,             0.65305,             0.33948,            0.056754,            0.058025,           0.0037324,            0.005545,            0.005545,            0.005545
                  47,            0.054455,            0.064117,           0.0019082,             0.81731,              0.5653,             0.65125,             0.33856,            0.056887,            0.057507,           0.0037737,            0.005446,            0.005446,            0.005446
                  48,            0.056091,            0.067053,           0.0019991,             0.80519,             0.58027,             0.65058,             0.34745,            0.055827,            0.057001,           0.0038071,            0.005347,            0.005347,            0.005347
                  49,            0.053713,            0.060935,            0.001915,              0.8137,             0.56465,             0.63578,             0.34308,            0.056026,            0.057232,           0.0036695,            0.005248,            0.005248,            0.005248
                  50,             0.05207,            0.057731,           0.0018318,             0.79152,             0.56565,             0.63981,             0.34384,            0.056076,            0.058283,            0.003845,            0.005149,            0.005149,            0.005149
                  51,            0.054312,            0.061964,           0.0019852,             0.81057,             0.56507,             0.64213,             0.34705,            0.056014,            0.058046,           0.0038241,             0.00505,             0.00505,             0.00505
                  52,            0.054231,            0.062126,           0.0018301,             0.83046,             0.56314,             0.64054,             0.34421,             0.05538,            0.057707,           0.0039267,            0.004951,            0.004951,            0.004951
